trade_date,day_index,strategy_nav,benchmark_nav,position,target_position,traded_notional,strategy_nav_norm,benchmark_nav_norm,excess_nav,drawdown,strategy_daily_return,benchmark_daily_return,daily_excess_return,turnover_ratio
2022-01-04,1,203015.539,200000.0,0.45320176205822355,0.4805288165807724,88922.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.44461
2022-01-05,2,200435.276,194544.77150194804,0.44199305515462256,0.48052430152893066,842.0,0.9872903177130694,0.9727238575097402,0.014974918206098753,-0.01270968228693059,-0.01270968228693059,-0.02727614249025978,0.01456646020332919,0.0041474657760064365
2022-01-06,3,199978.1905,192450.88009540457,0.4205108556575323,0.4802308827638626,4057.0,0.9850388373473224,0.9622544004770228,0.023678184125741186,-0.014961162652677551,-0.002280464343013211,-0.010763030999897616,0.008482566656884405,0.020240948005579615
2022-01-07,4,195403.636,190567.98144336938,0.42288875320620956,0.4798639118671417,3109.0,0.9625058109468163,0.9528399072168469,0.010144310347162788,-0.03749418905318369,-0.022875266990677212,-0.009783788211837563,-0.01309147877883965,0.015546695328258808
2022-01-10,5,195472.278,190494.64349282606,0.44832955801538266,0.4794510155916214,39796.0,0.9628439229964559,0.9524732174641303,0.010888185979587739,-0.037156077003544064,0.000351283125560542,-0.00038483878554973483,0.0007361219111102768,0.20366048869223702
2022-01-11,6,197275.47749999998,188061.77174716681,0.45605769728779394,0.47922274470329285,34041.0,0.9717259992595936,0.940308858735834,0.03341151179411117,-0.028274000740406424,0.009224834940533055,-0.012771339398584547,0.021996174339117602,0.17414745634672554
2022-01-12,7,199533.8995,193017.33853636082,0.4658306194231422,0.4790256917476654,34914.0,0.9828503792510188,0.9650866926818041,0.018406311789309404,-0.017149620748981187,0.011448062519580082,0.0263507396700291,-0.014902677150449017,0.17698094280369947
2022-01-13,8,199111.4995,189722.49665324067,0.456698885942547,0.47907374799251556,1600.0,0.98076975033916,0.9486124832662034,0.033899266181101506,-0.01923024966083997,-0.0021169335188579996,-0.017070186067763338,0.014953252548905338,0.008018687571431942
2022-01-14,9,203786.4995,191954.1597811061,0.4691625806154053,0.4791994243860245,0.0,1.003797544285514,0.9597707989055305,0.04587214513109705,0.0,0.023479306879510498,0.011762775460119945,0.011716531419390552,0.0
2022-01-17,10,203486.524,195092.4739374289,0.44281065020305715,0.47947122156620026,8361.0,1.0023199455683045,0.9754623696871445,0.027533174744376776,-0.001472008698986449,-0.001472008698986449,0.016349289642389353,-0.017821298341375802,0.04102823307978751
